,Id,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,Notes,purpose_cat,purpose,zip_code,addr_state,debt_to_income,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code
1072,1073,UT Southwestern,10,MORTGAGE,57000.0,not verified,n,,credit card,Pay off a credit card,760xx,TX,7.47,0.0,06/01/1998,0.0,,,4.0,0.0,11924,56.2,27.0,f,0.0,1,PC2
2440,2441,DealerSocket Inc,1,RENT,55000.0,not verified,n,"  Borrower added on 10/02/10 > My plan with this money is to consolidate a 29.99% APR on another credit card that has 4k balance and also consolidate a $1800 balance at 24% APR. By just doing this my minimum payments would drop $100 a month.<br/> Borrower added on 10/04/10 > I have a Bachelor's Degree and my wife has a Master's in Education. We're a talented couple with great ambition. I just made some silly mistakes four years ago that we're cleaning up. I work with growing company and look forward to getting rid of all credit cards. Then, I'll focus on the investor portion of Lending Club.<br/>",debt consolidation,Justin's Loan,926xx,CA,20.9,0.0,05/01/1994,1.0,,,12.0,0.0,15689,73.3,29.0,f,0.0,3,PC3
3028,3029,W South Beach,2,RENT,35000.0,not verified,n,Personal loan/consolidation of bills ,other,personal loan,331xx,FL,9.81,0.0,04/01/2006,0.0,,,5.0,0.0,147,2.4,5.0,f,0.0,3,PC1
210,211,Financial Partners Credit Union,4,MORTGAGE,88000.0,VERIFIED - income,n,"  Borrower added on 05/20/10 > The funds will be used to pay off revolving charge that is now not decreasing due to rising interest rates. I am current with all of my obligations but very frustrated that I cannot get around these interest rates. I have a great job, and the prospects for continued employment are good. While I do work for a financial institution, I do not like to mix my personal finances with my employment. That is why the Lending Club was a good alternative option to consolidate my debt. Thank you for the opportunity to get back on track.<br/>",debt consolidation small business,FA Debt Consolidation,917xx,CA,15.38,0.0,12/01/1994,0.0,34.0,,16.0,0.0,15847,45.5,43.0,f,0.0,2,PC5
4501,4502,Shultz Bros. Trucking,1,RENT,36000.0,VERIFIED - income,n,I would like to get a loan to purchase a used motorcycle.,other small business,Motorcycle,774xx,TX,2.2,0.0,08/01/1999,1.0,,,4.0,0.0,2196,35.4,6.0,f,0.0,1,PC5
2202,2203,Honeywell,1,MORTGAGE,56004.0,VERIFIED - income,n,  Borrower added on 09/14/10 > I was unemployed and incurred some credit card debt.  Now that I have found a great job I want to consolidate my revolving debt into one loan.<br/>,debt consolidation,Personal,494xx,MI,10.58,0.0,01/01/2000,2.0,,,9.0,0.0,43589,79.4,27.0,f,0.0,1,PC5
2615,2616,Willow Park Baptist Church,4,MORTGAGE,45000.0,VERIFIED - income source,n,  Borrower added on 01/22/11 > The purpose of this loan is to help me and my family pay off our credit cards that we used to make some major home repairs and also used to pay medical bills when we had our first child 15 moths ago.  I am a youth pastor and my wife is a teacher and we are committed to having this loan payed off in 3.5-4.5 years.  We are current on all of our bills we are just looking to combine all credit card debt for one payment.  Thank you for assisting me regain my financial future<br/>,debt consolidation,Personal Loan,760xx,TX,22.37,0.0,10/01/1997,2.0,,,11.0,0.0,18672,69.0,28.0,f,0.0,2,PC1
5893,5894,HD Segur,2,RENT,51996.0,not verified,n," I am starting up an insurance agency in Manchester, Connecticut and need roughly 25k to shore up cashflow for the first year. We expect to pay the loan off early using the cashflow genereated in years 2 and 3.   We do have a comprehensive business plan as well as 5 year projections and monthly projections for the first 3 years.  548595 added on 11/17/09 > I left my sales position to start the agency as of November 16th. My current debts include $220/mo. car loan, $300/mo. housing, and $227/mo. in student loans. <br/><br/>I have good credit with no blemishes. <br/><br/>As far as my job experience. I was an agent for a large Connecticut agency for 2.5 years. During that time I ranked number 2 out of 10 account executives for production. <br/><br/>My plan for the agency is to bring in roughly $500k-$550k in new business premium. Commissions are roughly 15% of premium written. We project positive cash flow throughout the duration of the business, as well as a break even around the middle of year 2. <br/><br/>If you have any additional questions, or would like a copy of the business plan and financial projections please let me know.<br/>",small business,Business Start-up,064xx,CT,5.53,0.0,10/01/2005,1.0,,,8.0,0.0,1025,22.3,9.0,f,0.0,2,PC5
9843,9844,Warren Truck & Trailer,1,OWN,42000.0,not verified,n,"I have had several unexpected home improvements to make (heater and appliance work) and would like to get a prosper loan to pay off these unexpected purchases instead of getting stuck paying high interest rates to my credit card company.     I have always paid my bills in time and historically have paid 100% of my balance each month.  I believe I should have a higher credit score, however my young age does not help and I utilize a larger portion of my available credit than the credit bureaus like.  This high credit usage is partly from me charging all my company expenses such as fuel, flights, hotels, etc to my personal card and I am reimbursed each month.  I have a good job with good potential to earn even more than I currently bring home. ",credit card,Consolidate Credit Cards,368xx,AL,16.09,0.0,10/01/2001,0.0,0.0,0.0,11.0,0.0,38054,61.2,12.0,f,0.0,2,PC2
3665,3666,,1,MORTGAGE,75996.0,not verified,n,"  562638 added on 10/25/09 > Hello Everyone,  Let me start off by saying I plan to use this loan to payoff 3 retail credit cards with interest rates above 20%.  If funded I could save over $100.00 a month in interest payments and get rid of the high interest credit cards. Lenders can feel comfortable funding this loan because my husband and I have always managed our credit well. We have lived in our house for over 5 years always managing to send an extra payment every year.  Our 2 previous automobile loans were paid off a few months early and all of our credit cards are current.  Thank you for listening and considering to invest in me.",debt consolidation,Crystal's Consolidator,080xx,NJ,1.58,0.0,07/01/2000,3.0,,,6.0,0.0,12135,85.5,10.0,f,0.0,1,PC4
6958,6959,Insurance Services,1,OWN,60000.0,VERIFIED - income,n," I currently have $15,000 spread out over 7 credit cards- with interest rates ranging from 9.99% to 18.99%.  I would like to consolidate this debt into one loan so that I can reduce my interest rate and pay it off in a timely manner.  I own my car outright- I have moved back in with my parents and pay no rent or utilities while I am paying off my debt.  Last year I grossed $48,000 and this year I am looking at a considerable increase in salary.  I have established credit for over 8 years without any late payments on record.  I pay ontime- everytime!  I have a degree in Business from one of the nation's top business schools and currently work at an insurance brokerage-  this debt was incurred while going to school full time while funding my sick grandmother's last two years of life.  I am on track to be succesful but simply need to eliminate my debt.  I hope you will consider my request and approve my loan.  Respectfully Yours-",debt consolidation,Debt Consolidaton,959xx,CA,17.5,0.0,06/01/2001,0.0,,,11.0,0.0,16422,76.6,20.0,f,0.0,1,PC5
1525,1526,Hostess Brands,8,MORTGAGE,46525.0,not verified,n,  Borrower added on 10/25/11 > Need a loan to consolidate bills and avoid bankruptcy.<br/>,debt consolidation,My Help Loan,890xx,NV,13.49,0.0,01/01/2006,3.0,,,14.0,0.0,7242,43.9,19.0,f,0.0,2,PC5
8528,8529,Wells Fargo,5,MORTGAGE,89500.0,VERIFIED - income,n,  Borrower added on 07/13/11 > We are buying super cheap investment properties and just need the down payment money. The houses will be turned into rentals and that income will be applied to the loan payments. Its a buyers market and its time to buy!<br/>,house,Home Down Payment,856xx,AZ,12.86,0.0,01/01/1996,0.0,,,8.0,0.0,22647,37.6,29.0,f,0.0,3,PC3
4952,4953,Cerner Corporation,2,RENT,48000.0,not verified,n,to consolidate some credit card debt,debt consolidation,Wilson,641xx,MO,25.25,0.0,08/01/1998,3.0,0.0,0.0,8.0,0.0,3336,90.2,11.0,f,0.0,3,PC4
4402,4403,"Life and Wealth Planning, LLC",7,OWN,54800.0,not verified,n,,vacation,The Loan,112xx,NY,0.33,0.0,10/01/2001,0.0,28.0,,7.0,0.0,699,3.0,15.0,f,0.0,3,PC1
5851,5852,CBS Radio Philadelphia,8,MORTGAGE,130000.0,VERIFIED - income,n,  Borrower added on 12/04/10 > This is for roofing and gutters that my house desperately needs. Pls let me know if there is any other information you need. Thanks!<br/>,home improvement,New Roof and Gutters,083xx,NJ,5.92,0.0,09/01/1987,0.0,57.0,,17.0,0.0,43,0.2,27.0,f,0.0,1,PC2
2298,2299,IBM,4,MORTGAGE,190000.0,VERIFIED - income,n,  Borrower added on 06/07/10 > Payoff higher interest credit card<br/>,credit card,Credit Card Refi,300xx,GA,22.02,0.0,01/01/1989,4.0,,,16.0,0.0,52182,86.6,40.0,f,0.0,1,PC1
3764,3765,Septa,10,RENT,65000.0,VERIFIED - income,n,  Borrower added on 08/21/11 > Loans to fit my needs.   thank you.<br/> Borrower added on 08/21/11 > Thank you.<br/>null,debt consolidation,personal loan,194xx,PA,22.06,0.0,01/01/2004,2.0,56.0,,4.0,0.0,0,0.0,12.0,f,0.0,3,PC4
9997,9998,"Weichert, Realtors",8,RENT,47831.0,not verified,n,  Borrower added on 03/10/10 > My dream is to finally end the cycle of revolving debt so that I can finally build a stable future for myself. I've been able to put some hardships behind and can see the light ahead if my loan is fully funded. I live modestly but cannot corral rising life expenses unless I can put away credit debt and service this loan. I will be a worthy LendingClub loan recipient. Thank you for your consideration!<br/>,debt consolidation,Harnessing credit debt for a stable future.,070xx,NJ,24.13,0.0,12/01/1989,0.0,,111.0,9.0,1.0,11346,60.7,17.0,f,0.0,3,PC3
5987,5988,Halliburton Energy Services,1,RENT,75000.0,not verified,n," 582167 added on 11/30/09 > This is a loan I want to take out to pay a credit card off that my parents have been paying on for 15 years. The card had nearly $40,000 on it at one point and it's down to $18,000. It is in my Grandmother's name because my dad lost a job 15 years back that ruined his credit and she offered the card to them. They have never missed a payment. It is their number 1 financial priority. They are going to continue to pay the note. My Grandmother's nerves just can't handle the card being in her name anymore so this is the solution to get it out of her name. They are as good as gold to pay it off and of course you can see that I make pretty good money with little overhead, so I would step up to make the payments if my parents can't. Thank you for your consideration. This means a lot to my family!<br/> 582167 added on 12/01/09 > Ok so I just got an email from someone asking a lot more questions. The summary of what I sent them is this: I have a good job that I don't expect to lose anytime soon, certainly within the life of the loan. I am educated and would find a way to live in a box and make it work if not! I keep a strict budget and was able to save over $15000 this year. My parents have been paying over $700/ month on this card for over 10 years so I don't expect them to do anything different for the next 3. I will actually be paying half of the monthy payments. I just dropped my golf membership so my financial situation is only getting better. I have enough money (over $18,000 and counting) in my retirement accounts to pay the loan off if it comes to that. If you have any more questions, please ask. I know it's hard to trust anyone these days, but all I have are words to express that I essentially guarantee you will get paid back with your due interest!<br/> 582167 added on 12/01/09 > This is site is really neat. I didn't expect this many quality inquiries. I like the due diligence. I am getting even more questions about my personal work/school history...I am 26 years old. I graduated from Texas State University-San Marcos in 2005 (age 21) with a Finance degree. I had a golf scholarship there as well too. I applied for one job and got it. That job was as a Financial Advisor at Smith Barney in Beaumont, TX (my hometown). The 2 year window which will cancel all the licenses (Series 3, 7, 9, 10, 31, 63, 65, and Insurance) I obtained while working there will cancel in November 2010. I worked there 3 years before the economy and my lack of wealthy contacts went dry. A friend turned me onto the job I do now which I've described above. If you guys have any more questions, please let me know.<br/> 582167 added on 12/05/09 > I just realized that I didn't actually describe my job like I said I did. I am a Drilling Fluids Engineer for Halliburton Baroid. Basically that means I am in charge of maintaining chemical properties in drilling fluid used to drill oil/gas wells. This fluid has many purposes including cooling the pipe and bit, providing hydrostatic pressure so open hole (Earth) doesn't cave in on the drill pipe we are using to drill, prevents pipe corrosion, carries earth cutting to the surface, etc. Typically, I will be in charge of one well at a time. I prepare a report every day and make recommendations to the company rep. on location. I basically spend 1/2 a year on a drilling rig, the other half at home or doing whatever I want. I want to thank everyone who has already invested and future investors. It appears this loan is going to fund. Again, you guys can sleep well. You won't be disappointed. Thanks!<br/>",other,Personal Loan,153xx,PA,11.31,0.0,09/01/2001,0.0,,,6.0,0.0,1126,7.9,17.0,f,0.0,1,PC4
9923,9924,The Home Depot,9,MORTGAGE,73000.0,VERIFIED - income,n,  Borrower added on 09/04/11 > Paying off higher interest credit card debt - this puts the end in sight!<br/>,debt consolidation,Almost There!,275xx,NC,21.21,0.0,12/01/1988,0.0,,,10.0,0.0,28173,81.0,25.0,f,0.0,3,PC5
9695,9696,,7,RENT,84000.0,not verified,n,"  Borrower added on 05/10/10 > I am working hard to eliminate my dabt of high interest credit cards and a high interest auto loan. I ALWAYS make my payments on time. Please help! Thank you!<br/> Borrower added on 05/11/10 > My main goal in life right now is to completely rid myself of debt.  I have made great strides and have cut my debt in half over the past 2 years.  Unfortunately, my debt was acquired when my credit was not very good and I have extremely high interest rates.<br/>",debt consolidation,Please Help Me Eliminate High Interest Credit!,928xx,CA,12.97,0.0,05/01/2001,0.0,,,13.0,0.0,10895,34.3,22.0,f,0.0,1,PC3
7739,7740,United States Post Office,10,MORTGAGE,57484.0,VERIFIED - income,n,  Borrower added on 06/18/11 > I am employed full time with the government<br/> Borrower added on 06/18/11 > I will hall automatic pay withdrwls<br/> Borrower added on 06/18/11 > I am a good risk<br/> Borrower added on 06/23/11 > I absolutely postively willnot be late or default I am preparing myself to retire in 10 or 15 years<br/> Borrower added on 06/24/11 > I do not pay household expenses I contribute to them though<br/>,debt consolidation,Get out of debt,480xx,MI,17.56,0.0,02/01/1991,0.0,,,19.0,0.0,18568,62.7,35.0,f,0.0,1,PC3
6522,6523,Adecco Engineering & Technical,1,RENT,24000.0,not verified,n,  590704 added on 12/16/09 > I am a newlywed and these funds are to go towards wedding expenses and our home.  My husband and I are both college graduates preparing for our future together.  Thanks for the help.<br/>,wedding,Head Start Loan,450xx,OH,11.0,0.0,10/01/2002,1.0,,,4.0,0.0,4159,59.4,9.0,f,0.0,2,PC1
5289,5290,University of CA San Diego,10,OWN,39456.0,not verified,n,  Borrower added on 11/30/11 > I had major repair work done on my car.<br>,other,Other Loan,920xx,CA,26.22,0.0,02/01/2000,1.0,,,9.0,0.0,10791,43.8,29.0,f,0.0,2,PC1
9129,9130,covanta energy,3,MORTGAGE,75000.0,VERIFIED - income,n,  Borrower added on 10/27/11 > purchace new aircraft<br/>,major purchase,personal,225xx,VA,27.02,0.0,10/01/1991,0.0,,,10.0,0.0,2617,24.2,19.0,f,0.0,1,PC3
9623,9624,Community College of Philadelphia,4,RENT,75000.0,VERIFIED - income,n,"  Borrower added on 06/14/11 > At a very young age my parents recognized in me an unbridled spirit that echoed that of the wild, injured animals that always found their way to our rural, run-down farm and into my small hands, animals I would lovingly restore to health or faithfully attend to until their death. The desire to help and support those in need, whether animal, plant, or person, and the wildness I harbored in my soul, stayed with me long after I escaped the challenging circumstances I grew up in. I eventually channeled those youthful traits into a career in urban education that I love beyond words, even though I endured many hardships along the way, especially financial, in order to find it. The loan I am seeking is for the purpose of consolidating debt I incurred in my twenties and early thirties as I struggled to put myself through college and graduate school, and then tried to find stable employment. Now that I am fortunate to be in a professional position with a great deal of job security, I want control over my financial landscape to be included amongst my accomplishments. Having a single installment loan with one payment due each month and a reasonable interest rate will offset the stress caused by making multiple payments on past debts with high interest rates. Less stress in this area of my life will allow me to have greater focus on those areas that matter most, like helping those I serve become productive, educated citizens able to break the damaging cycles that have wreaked havoc on their lives, those of their loved ones, and their communities. Borrower added on 06/19/11 > I just want to thank all those that have contributed toward my loan and those that will in the coming days. Initially I saw this site as a unique way to secure funds to pay off debt without having to deal with a bank. However, as I watched my loan money increase through individuals' investments, I began to feel a strong sense of accountability to this community of lenders and borrowers. Because I work in social justice and community revitalization, I connect personally with the concept behind Lending Club. I hope others that use this site have an equal level of respect for those that have chosen to funnel their own earnings into someone's loan request. Failure to do so would amount to a shameful act of failing the community as a whole. Ventures such as this only thrive and grow as people commit to the principles and values backing it and see to it that they meet their obligations. I am looking forward to being one that helps foster its growth.<br/>",debt consolidation,Social Justice Return for Support ,081xx,NJ,15.33,2.0,12/01/1994,3.0,14.0,,12.0,0.0,4099,61.2,35.0,f,0.0,1,PC3
799,800,Recycle Bookstore,2,OWN,15600.0,not verified,n,"  Borrower added on 04/20/10 > I am a college student and I am trying to consolidate credit card debt so that I can be in a better position later in life.  I've been given a great opportunity to stay with an older family member as a sort of live-in maid/nurse for the next two years (guaranteed--perhaps longer) rent free, so my expenses are extremely low, but the percentage rate on my CC's are extremely high!  One is at almost 35% and one is 18%.  This loan would allow me to consolidate the two into a reasonable monthly payment.  I intend to pay over the minimum monthly balance so I can pay off this loan within two years.  <br/><br/>I work in retail but my income is steady, my hours do not change week-to-week.  I work 38 hours a week at $11.00 an hour at a local independent book store.  My job security is high--because of the economic down turn, more people are buying used books--and my boss has mentioned that my services are extremely valuable.  I not only do general retail work for the store, but I am also working on building the company website.<br/><br/>I also attend 6-9 units of community college (for now) every semester.  I receive financial aide, but it's barely enough to cover the expense of tuition and books, not to mention supplies and transportation.<br/><br/>Thank you for this opportunity, it means a lot to me.<br/>",debt consolidation,Need to pay off student expenses at a better rate,940xx,CA,13.77,0.0,12/01/2006,0.0,,,4.0,0.0,5416,91.8,7.0,f,0.0,1,PC3
6015,6016,Te'Kila,1,RENT,20000.0,VERIFIED - income source,n,,debt consolidation,Consolidation,915xx,CA,16.92,0.0,07/01/2005,0.0,,,7.0,0.0,7794,82.9,14.0,f,0.0,2,PC4
8147,8148,city of richland,10,MORTGAGE,35000.0,VERIFIED - income source,n,"  Borrower added on 01/27/11 > I plan to pay off my bills, this payment will be lower than all my monthly payment combined, I have worked at my job for almost 12 years now.<br/>",debt consolidation,carmsmoney,993xx,WA,5.93,1.0,12/01/1996,0.0,22.0,116.0,8.0,1.0,3336,39.7,24.0,f,0.0,1,PC2
2652,2653,Eagle Precision Cast Parts,10,MORTGAGE,67548.0,VERIFIED - income,n,I am purchasing a cabin that has 3 actual cabins so I can stay all the same time. This is perfect for me.  A great investment. ,major purchase,Cabin fever,494xx,MI,11.1,1.0,01/01/1995,0.0,10.0,,5.0,0.0,0,0.83,23.0,f,0.0,1,PC4
3196,3197,Itasca County Treasurer's Office,5,MORTGAGE,97200.0,not verified,n,"  Borrower added on 05/01/10 > I am sorry for not posting more details.  This is new to me.  I am a straight forward person and would like to explain my loan request.  I am looking to consolidate lines of credit, credit cards, etc...  My mother is ill and is on a transplant list. I  have taken out some loans to help my mother and ease some of her financial burden. Along with my own debt, it has been a bit overwhelming, but I  I have an excellent job, lots of motivation and determination.  I have ways to pay off debt, where she does not.  The 16000.00 would be used for this and only this.  I am not wanting anything other than just to manage things a bit easier and relieve some of the daily stress that I have.  I am a trustworthy person and would like someone to take a chance on me.  I know that my credit is not perfect, but my scores have been getting higher and I have been working hard for the past few years to make a difference on my credit report.  I have a request like many others, I am sure. My credit may come across to some as a high risk, but I can assure you that I am not.  I take my debts seriously and take responsibility for them. I have helped more than I should at times, but that is who I am.  I am confident in myself and want you to be as well.  Thank you for your consideration!<br/> Borrower added on 05/01/10 > This loan is very secure for the lender.  I have a very stable job and take pride in my work ethics.  I am simply trying to pay down my debt, increase my credit score, and manage my debts as simple as possible.  I am not a risk and have worked hard over the ast few years to really understand how to increase your credit and be considered a good candidate when applying for loans.  I would be thankful to the person or persons who fund my loan.  I am hoping to close this as soon as possible.  I want to change my current situation.  I would like one line vs. 6 or more.  I am making a difference not only for me but my faimly.  I would also be interested in doing future business with a lender that is willing to take a chance on me now.  I am true to my word and have many goals past the one I am trying to accomplish right now.  Again, thank you for your consideration. This is a whole new way to work with others to help each other- where both parties benefit.  I am hopeful that I will be a customer for many years to come.  Maybe someday for something a bit more exciting, but I am on my way!<br/> Borrower added on 05/02/10 > Here are the details of the debts I am looking to consolidate.  If I am fully funded I am going to get as many lines paid down as I can.  I usually pay more than the minimum and I would continue to do this on this one loan as well.   That would offset some of the higher interest being paid on some.  My overall payment would be lower and I would increase my credit score with the fewer number of lines and revolving credit.  I am not looking to continue to keep more than one cc. when pd off. I will close and pay off.  I believe I should let them report paid with a o balance and then start closing them.  I will seek advice on what it the best route.  I will not be using the cards at all. <br/>Capital One- 15.99% 493 bal 16 min 25-40 pd<br/>Capital One- 18.99% 998 bal 29 min 40-50 pd<br/>Orchard- 28.99% 1144 bal 47 min 60 pd<br/>Household- 26.99% 448 bal 15 min 25 pd<br/>Juniper- 30.24% 352 bal 14 min 40 pd<br/>Affinity- 14.9% 4889 bal 140 min 150 pd<br/>GRSB- 15.9% 2486 125 min 150 pd<br/>Affinity Sig-15.9% 4920 157 min 157 pd<br/>Affinity LOC- 14.25% 4125 80 min varies 80 pd varies<br/>I have a Chase card with a bal of 5960, but it has a 6.0% interest rate.  I feel it would be best to leave this one out.  I also  have 2 lines of credit, one for each chsecking account, but they are 500 and 1000. They would not be paid.<br/>I would like to pay off as much as I can with the funding I get. I<br/>",debt consolidation,"Hard Working, Trust Worthy and Honest!!!",557xx,MN,15.54,1.0,02/01/1996,2.0,23.0,98.0,11.0,1.0,26470,97.7,60.0,f,0.0,3,PC5
2446,2447,Gregs collision center,10,RENT,60000.0,VERIFIED - income,n,  Borrower added on 06/14/11 > I want to lower my interest rates and pay it of sooner<br/> Borrower added on 06/18/11 > Thank you everyone<br/>,debt consolidation,Lower my apr,902xx,CA,17.46,0.0,01/01/1999,1.0,,,8.0,0.0,740,15.4,10.0,f,0.0,3,PC2
7685,7686,Compassionate Care Hospice,1,MORTGAGE,48000.0,VERIFIED - income source,n,  Borrower added on 07/02/11 > I am looking to get a loan to buy a used van as well as to consolidate some of my debt. Our family has grown and barely fit into my car (which has been paid off) anymore. I would rather get a van about 3500 rather than go through a dealership and owe more money. With the leftover money I would consolidate some of my bills and actually be paying less than owed for the amount monthly. I have a great work history and have been at my current job for about 15 months. Prior to that I was at my last two jobs for 9 and 5 years but always worked since I was 14 Years old. Please consider funding my loan to help my family out! It would be greatly appreciated. Thank you for your time and interest.<br/> Borrower added on 07/03/11 > I am looking to get a loan to buy a used van as well as to consolidate some of my debt.  I would rather get a van about 3500 rather than go through a dealership and owe more money. With the leftover money I would consolidate some of my bills and actually be paying less than owed for the amount monthly. I have a great work history and have been at my current job for about 15 months. Prior to that I was at my last two jobs for 9 and 5 years but always worked since I was 14 Years old. Please consider funding my loan to help me out! It would be greatly appreciated. Thank you for your time and interest.<br/>,major purchase,Debt Consolidation,185xx,PA,19.85,1.0,12/01/1998,0.0,20.0,,15.0,0.0,13612,89.5,41.0,f,0.0,1,PC5
5946,5947,Northshore University Health,3,OWN,75000.0,VERIFIED - income,n,,debt consolidation,Debt Consolidation,600xx,IL,9.76,0.0,02/01/1999,2.0,,,8.0,0.0,14022,52.2,28.0,f,0.0,3,PC4
9890,9891,Snagajob.com,3,MORTGAGE,135000.0,VERIFIED - income,n,"  Borrower added on 05/09/10 > My bonus is arriving between July and December for $20,000+ at which time I will pay off this loan that I am using to help put a fence on my property and pay off a charge card.<br/> Borrower added on 05/10/10 > I have been at a stable, decent six figure income for more than 3 years and have never had a loan that I have not paid off before the due date with full interest.  Right now, I bring home, on average, over $9,000 a month and have only $5,000 in expenses.  This loan would give me some more run way to get some work done on the house so I don't have to dip into my savings which is  over $20,000.  If I don't have this loan financed by Thursday, I will most likely go with another option.<br/>",debt consolidation,Executive Needs Cash between now and bonus,238xx,VA,10.74,1.0,12/01/1992,1.0,14.0,,10.0,0.0,5392,46.5,7.0,f,0.0,2,PC2
9925,9926,self,1,RENT,22000.0,not verified,n,  Borrower added on 03/31/10 > Need a larger truck for growing business. Always make payments on time.<br/>,major purchase,New Work Truck,945xx,CA,10.53,0.0,08/01/2004,0.0,,,2.0,0.0,7472,74.7,7.0,f,0.0,3,PC3
8139,8140,Housing Authority of CityNew Britain,10,MORTGAGE,88000.0,VERIFIED - income source,n,,car,Car Loan,060xx,CT,24.82,0.0,04/01/1998,0.0,,,18.0,0.0,34766,33.5,55.0,f,0.0,1,PC3
4528,4529,AT&T,3,RENT,39184.0,VERIFIED - income,n,"  Borrower added on 11/15/10 > I will be using this loan to pay off a balance of approximately $4,800 over 3 credit cards (Chase, Citi, Discover) with an average APR of 12.99% and a small private student loan (Chase) I used to purchase books for school one year. That small student loan has an APR of about 7.00% the pay off amount is approximately $950 which I want to pay off ASAP because the student loan repayment company only allows a 25 year repayment plan and that is way too long to be paying interest on something with such a low balance. My current situation will be better with this loan and easier to manage. I have never missed a payment in my life and my job situation is stable with AT&amp;T for the last 3 years. Thanks for helping investors!<br/>",credit card,Responsible College Grad to Refinance CC,303xx,GA,23.0,0.0,08/01/2004,0.0,,,11.0,0.0,4734,11.9,25.0,f,0.0,2,PC1
2685,2686,,na,OWN,45444.0,VERIFIED - income,n,,debt consolidation,Debt Consolidation,130xx,NY,18.85,0.0,12/01/1999,1.0,81.0,,21.0,0.0,17784,42.9,42.0,f,0.0,3,PC4
3462,3463,Rabobank NA,3,RENT,150000.0,VERIFIED - income,n,"  Borrower added on 10/17/10 > I took a $50,000 loan from my parents 2 years ago, who offered it willingly and without interest. I've paid half of it off, but being in debt to your family has become complicated and emotional ... so removing this cloud from overhead has become my top priority. Using an unsecured line or a credit card pushes the rate beyond 17%, so this is a better deal (if I can get it).<br/>",debt consolidation,Paying Off A Family Loan,958xx,CA,8.75,0.0,03/01/1988,1.0,33.0,,11.0,0.0,7477,14.5,30.0,f,0.0,3,PC2
3432,3433,Department of Homeland Security-TSA,9,MORTGAGE,77000.0,VERIFIED - income,n,,moving,Trails,410xx,KY,18.26,0.0,04/01/2001,1.0,,,15.0,0.0,32819,59.5,32.0,f,0.0,2,PC3
7362,7363,st catherine of siena,4,RENT,45000.0,VERIFIED - income source,n,  Borrower added on 12/10/11 > I am looking for an afforadable loan to pay my debt off.  <br>,debt consolidation,pay off my debt,117xx,NY,17.01,1.0,11/01/1995,1.0,20.0,85.0,21.0,1.0,10464,50.0,51.0,f,0.0,1,PC3
8750,8751,Alpha Ecological Pest Control,6,MORTGAGE,85000.0,not verified,n,We started a new branch for my company and relocated. We're doing great - sales are steady but credit cards that we used for moving need to go away.,debt consolidation,Firing the credit card companies,857xx,AZ,10.74,0.0,09/01/1990,2.0,,76.0,9.0,1.0,29381,88.2,18.0,f,0.0,2,PC2
9814,9815,Summa Health Systems,2,MORTGAGE,44088.0,not verified,n,"  Borrower added on 04/27/11 > Just cleaning up some debt and putting it in one payment.<br/> Borrower added on 04/27/11 > Would like to be debt free in 5 years.<br/>Mortgage payment is $660<br/>Credit Cards have $14,000 with a minimum of $350<br/>No car payment<br/>",debt consolidation,Cleaning it up,446xx,OH,12.57,0.0,02/01/1998,2.0,,,8.0,0.0,22491,58.9,19.0,f,0.0,2,PC4
5189,5190,MRI,4,RENT,38004.0,VERIFIED - income source,n,,debt consolidation,credit card loan,300xx,GA,23.43,1.0,08/01/2003,0.0,21.0,,8.0,0.0,10451,69.7,14.0,f,0.0,1,PC1
710,711,ecolab,2,RENT,33600.0,not verified,n,  Borrower added on 06/08/10 > This loan is to pay off mine and my soon to be wifes credits. I pay all my billls on time. I have never had any problems with paying any money that I owe. I have been at my job fo to years and will be there for many more years to come. So I will be paying this money back every month like intended.<br/>,debt consolidation,personal loan,254xx,WV,15.93,0.0,10/01/2005,1.0,,,6.0,0.0,5687,52.2,12.0,f,0.0,1,PC3
4168,4169,Restaurant,1,RENT,12000.0,not verified,n,"I am looking for this loan to simplify my monthly payments and also to acquire a inexpensive motorcycle.  Financially i am very comfortable, besides the credit cards to be payed, my only monthly payments are for car insurance ($45 monthly) and a satellite radio subscription(around $14 a month). My housing and utility's are effectively $0.  Ive held my current job for about a year and a half (about $800-$1000 a month income), the job before that for almost 2 years, and there was literally no gap in between the jobs. Thanks for the interest.",debt consolidation,Consolidate 3 CreditCards + Bike,605xx,IL,5.8,0.0,10/01/2005,0.0,,,5.0,0.0,1950,67.2,6.0,f,0.0,1,PC5
7381,7382,Adams and Associates,5,RENT,37500.0,VERIFIED - income source,n,,debt consolidation,Consolidation,014xx,MA,21.38,0.0,10/01/2005,1.0,51.0,,12.0,0.0,9539,73.9,20.0,f,0.0,3,PC3
